condition,position,layer,method,n,positive_n,margin_auc,margin_auc_ci_low,margin_auc_ci_high,unknown_mrr_auc
C0,P_a0,0,j_lens,31,2,0.7586206896551724,0.4,1.0,0.7931034482758621
C0,P_a0,0,logit_lens,31,2,0.1724137931034483,0.0,0.4666666666666667,0.3448275862068966
C0,P_a0,1,j_lens,31,2,0.5431034482758621,0.36666666666666664,0.7241379310344828,0.5
C0,P_a0,1,logit_lens,31,2,0.034482758620689655,0.0,0.13793103448275862,0.06896551724137931
C0,P_a0,2,j_lens,31,2,0.7413793103448276,0.39285714285714285,1.0,0.8103448275862069
C0,P_a0,2,logit_lens,31,2,0.07758620689655173,0.0,0.2413793103448276,0.7068965517241379
C0,P_a0,3,j_lens,31,2,0.43103448275862066,0.18333333333333332,0.6855459770114944,0.4482758620689655
C0,P_a0,3,logit_lens,31,2,0.0,0.0,0.0,0.25862068965517243
C0,P_a0,4,j_lens,31,2,0.1724137931034483,0.03333333333333333,0.3672916666666661,0.5172413793103449
C0,P_a0,4,logit_lens,31,2,0.4224137931034483,0.0,0.9166666666666666,0.22413793103448276
C0,P_a0,5,j_lens,31,2,0.4051724137931034,0.0,0.9037931034482756,0.39655172413793105
C0,P_a0,5,logit_lens,31,2,0.3275862068965517,0.16041666666666665,0.5104166666666667,0.3620689655172414
C0,P_a0,6,j_lens,31,2,0.4827586206896552,0.29310344827586204,0.685,0.3103448275862069
C0,P_a0,6,logit_lens,31,2,0.15517241379310345,0.034482758620689655,0.3,0.29310344827586204
C0,P_a0,7,j_lens,31,2,0.46551724137931033,0.2833333333333333,0.6551724137931034,0.4482758620689655
C0,P_a0,7,logit_lens,31,2,0.6206896551724138,0.23333333333333334,0.9666666666666667,0.7241379310344828
C0,P_a0,8,j_lens,31,2,0.5689655172413793,0.4,0.7361111111111112,0.3793103448275862
C0,P_a0,8,logit_lens,31,2,0.5172413793103449,0.06896551724137931,0.9333333333333333,0.25862068965517243
C0,P_a0,9,j_lens,31,2,0.3879310344827586,0.20593869731800768,0.5862068965517241,0.3448275862068966
C0,P_a0,9,logit_lens,31,2,0.39655172413793105,0.0,0.896551724137931,0.27586206896551724
C0,P_a0,10,j_lens,31,2,0.5862068965517241,0.20534482758620692,0.9333333333333333,0.46551724137931033
C0,P_a0,10,logit_lens,31,2,0.5689655172413793,0.23333333333333334,0.9,0.5
C0,P_a0,11,j_lens,31,2,0.646551724137931,0.46663793103448276,0.8103448275862069,0.3620689655172414
C0,P_a0,11,logit_lens,31,2,0.4482758620689655,0.06666666666666667,0.8571428571428571,0.43103448275862066
C0,P_a0,12,j_lens,31,2,0.5862068965517241,0.23333333333333334,0.8705952380952375,0.4827586206896552
C0,P_a0,12,logit_lens,31,2,0.5,0.09642857142857143,0.9288793103448276,0.7586206896551724
C0,P_a0,13,j_lens,31,2,0.7241379310344828,0.4666666666666667,0.9333333333333333,0.5172413793103449
C0,P_a0,13,logit_lens,31,2,0.4482758620689655,0.23333333333333334,0.6896551724137931,0.9310344827586207
C0,P_a0,14,j_lens,31,2,0.7241379310344828,0.4827586206896552,0.9333333333333333,0.7758620689655172
C0,P_a0,14,logit_lens,31,2,0.5689655172413793,0.13333333333333333,0.9666666666666667,0.7068965517241379
C0,P_a0,15,j_lens,31,2,0.896551724137931,0.7586206896551724,1.0,0.9310344827586207
C0,P_a0,15,logit_lens,31,2,0.8793103448275862,0.6896551724137931,1.0,0.9827586206896551
C0,P_a0,16,j_lens,31,2,0.9310344827586207,0.7666666666666667,1.0,0.896551724137931
C0,P_a0,16,logit_lens,31,2,0.7672413793103449,0.5,0.9666666666666667,0.6896551724137931
C0,P_a0,17,j_lens,31,2,0.9137931034482759,0.7333333333333333,1.0,0.9482758620689655
C0,P_a0,17,logit_lens,31,2,0.9137931034482759,0.8,1.0,0.9137931034482759
C0,P_a0,18,j_lens,31,2,0.8620689655172413,0.6551724137931034,1.0,0.9137931034482759
C0,P_a0,18,logit_lens,31,2,0.9310344827586207,0.8275862068965517,1.0,0.9310344827586207
C0,P_a0,19,j_lens,31,2,0.7586206896551724,0.43333333333333335,1.0,0.9482758620689655
C0,P_a0,19,logit_lens,31,2,0.896551724137931,0.7662962962962964,1.0,0.9310344827586207
C0,P_a0,20,j_lens,31,2,0.8793103448275862,0.6666666666666666,1.0,0.9482758620689655
C0,P_a0,20,logit_lens,31,2,0.9137931034482759,0.7931034482758621,1.0,0.9827586206896551
C0,P_a0,21,j_lens,31,2,0.7586206896551724,0.42857142857142855,1.0,0.9655172413793104
C0,P_a0,21,logit_lens,31,2,0.7241379310344828,0.3597619047619048,1.0,0.9827586206896551
C0,P_a0,22,j_lens,31,2,0.7758620689655172,0.4666666666666667,1.0,0.9482758620689655
C0,P_a0,22,logit_lens,31,2,0.7758620689655172,0.465,1.0,0.9655172413793104
C0,P_a0,23,j_lens,31,2,0.8620689655172413,0.6551724137931034,1.0,0.9310344827586207
C0,P_a0,23,logit_lens,31,2,0.8620689655172413,0.6666666666666666,1.0,0.9655172413793104
C0,P_a0,24,j_lens,31,2,0.853448275862069,0.6201559934318556,1.0,0.9482758620689655
C0,P_a0,24,logit_lens,31,2,0.8275862068965517,0.5666666666666667,1.0,0.9655172413793104
C0,P_a0,25,j_lens,31,2,0.9396551724137931,0.8171428571428572,1.0,0.8793103448275862
C0,P_a0,25,logit_lens,31,2,0.9482758620689655,0.8214285714285714,1.0,0.896551724137931
C0,P_a0,26,j_lens,31,2,0.9396551724137931,0.8,1.0,0.8793103448275862
C0,P_a0,26,logit_lens,31,2,0.9482758620689655,0.8275862068965517,1.0,0.9310344827586207
C0,P_a0,27,j_lens,31,2,0.9137931034482759,0.7586206896551724,1.0,0.9224137931034483
C0,P_a0,27,logit_lens,31,2,0.9137931034482759,0.7333333333333333,1.0,0.9224137931034483
C0,P_q,0,j_lens,31,2,0.7586206896551724,0.5693127394636015,0.9107142857142857,0.7241379310344828
C0,P_q,0,logit_lens,31,2,0.5948275862068966,0.13333333333333333,1.0,0.6206896551724138
C0,P_q,1,j_lens,31,2,0.6379310344827587,0.3108189655172414,0.9164511494252872,0.6724137931034483
C0,P_q,1,logit_lens,31,2,0.3793103448275862,0.13333333333333333,0.6708333333333336,0.5344827586206896
C0,P_q,2,j_lens,31,2,0.5948275862068966,0.1724137931034483,0.9666666666666667,0.6206896551724138
C0,P_q,2,logit_lens,31,2,0.5689655172413793,0.23333333333333334,0.896551724137931,0.6206896551724138
C0,P_q,3,j_lens,31,2,0.4482758620689655,0.06804597701149426,0.8275862068965517,0.5172413793103449
C0,P_q,3,logit_lens,31,2,0.603448275862069,0.13333333333333333,1.0,0.6896551724137931
C0,P_q,4,j_lens,31,2,0.5258620689655172,0.20689655172413793,0.8333333333333334,0.4482758620689655
C0,P_q,4,logit_lens,31,2,0.5344827586206896,0.06666666666666667,1.0,0.6551724137931034
C0,P_q,5,j_lens,31,2,0.3103448275862069,0.03743131868131868,0.6181752873563219,0.08620689655172414
C0,P_q,5,logit_lens,31,2,0.6206896551724138,0.13333333333333333,1.0,0.7758620689655172
C0,P_q,6,j_lens,31,2,0.46551724137931033,0.06666666666666667,0.8666666666666667,0.3448275862068966
C0,P_q,6,logit_lens,31,2,0.4827586206896552,0.0,0.9666666666666667,0.7931034482758621
C0,P_q,7,j_lens,31,2,0.853448275862069,0.6984821428571428,0.9655172413793104,0.7758620689655172
C0,P_q,7,logit_lens,31,2,0.5862068965517241,0.13793103448275862,1.0,0.896551724137931
C0,P_q,8,j_lens,31,2,0.8103448275862069,0.5,1.0,0.8793103448275862
C0,P_q,8,logit_lens,31,2,0.5172413793103449,0.1,0.9333333333333333,0.7758620689655172
C0,P_q,9,j_lens,31,2,0.5517241379310345,0.16666666666666666,0.9,0.6379310344827587
C0,P_q,9,logit_lens,31,2,0.4482758620689655,0.03333333333333333,0.896551724137931,0.41379310344827586
C0,P_q,10,j_lens,31,2,0.5172413793103449,0.1,0.9310344827586207,0.5344827586206896
C0,P_q,10,logit_lens,31,2,0.39655172413793105,0.0,0.896551724137931,0.27586206896551724
C0,P_q,11,j_lens,31,2,0.6379310344827587,0.33214285714285713,0.9288177339901479,0.5689655172413793
C0,P_q,11,logit_lens,31,2,0.3793103448275862,0.0,0.864367816091954,0.29310344827586204
C0,P_q,12,j_lens,31,2,0.5344827586206896,0.1724137931034483,0.896551724137931,0.6896551724137931
C0,P_q,12,logit_lens,31,2,0.3620689655172414,0.0,0.8275862068965517,0.27586206896551724
C0,P_q,13,j_lens,31,2,0.5862068965517241,0.2,0.9333333333333333,0.7586206896551724
C0,P_q,13,logit_lens,31,2,0.2413793103448276,0.03333333333333333,0.4666666666666667,0.6379310344827587
C0,P_q,14,j_lens,31,2,0.5344827586206896,0.1,0.9666666666666667,0.603448275862069
C0,P_q,14,logit_lens,31,2,0.25862068965517243,0.10185185185185185,0.43333333333333335,0.4482758620689655
C0,P_q,15,j_lens,31,2,0.5689655172413793,0.034482758620689655,1.0,0.5344827586206896
C0,P_q,15,logit_lens,31,2,0.5,0.26666666666666666,0.7586206896551724,0.6206896551724138
C0,P_q,16,j_lens,31,2,0.6551724137931034,0.20689655172413793,1.0,0.5517241379310345
C0,P_q,16,logit_lens,31,2,0.5172413793103449,0.25,0.7931034482758621,0.5172413793103449
C0,P_q,17,j_lens,31,2,0.603448275862069,0.10310344827586207,1.0,0.5517241379310345
C0,P_q,17,logit_lens,31,2,0.5172413793103449,0.26666666666666666,0.7777777777777778,0.7413793103448276
C0,P_q,18,j_lens,31,2,0.5344827586206896,0.034482758620689655,1.0,0.5172413793103449
C0,P_q,18,logit_lens,31,2,0.43103448275862066,0.2,0.6666666666666666,0.7241379310344828
C0,P_q,19,j_lens,31,2,0.5862068965517241,0.10705049261083743,1.0,0.6206896551724138
C0,P_q,19,logit_lens,31,2,0.5775862068965517,0.4,0.7668534482758621,0.7241379310344828
C0,P_q,20,j_lens,31,2,0.5689655172413793,0.06592592592592597,1.0,0.7241379310344828
C0,P_q,20,logit_lens,31,2,0.603448275862069,0.41379310344827586,0.7771367521367522,0.8620689655172413
C0,P_q,21,j_lens,31,2,0.5689655172413793,0.1,1.0,0.7586206896551724
C0,P_q,21,logit_lens,31,2,0.5689655172413793,0.3793103448275862,0.7666666666666667,0.6896551724137931
C0,P_q,22,j_lens,31,2,0.4827586206896552,0.13793103448275862,0.8329022988505744,0.6724137931034483
C0,P_q,22,logit_lens,31,2,0.43103448275862066,0.23333333333333334,0.6551724137931034,0.7586206896551724
C0,P_q,23,j_lens,31,2,0.5862068965517241,0.10344827586206896,1.0,0.7241379310344828
C0,P_q,23,logit_lens,31,2,0.6206896551724138,0.26666666666666666,0.9333333333333333,0.8620689655172413
C0,P_q,24,j_lens,31,2,0.5862068965517241,0.06902709359605912,1.0,0.6637931034482759
C0,P_q,24,logit_lens,31,2,0.5775862068965517,0.125,1.0,0.7068965517241379
C0,P_q,25,j_lens,31,2,0.5862068965517241,0.10344827586206896,1.0,0.5
C0,P_q,25,logit_lens,31,2,0.5862068965517241,0.13333333333333333,1.0,0.5172413793103449
C0,P_q,26,j_lens,31,2,0.603448275862069,0.1,1.0,0.5172413793103449
C0,P_q,26,logit_lens,31,2,0.6810344827586207,0.25,1.0,0.5517241379310345
C0,P_q,27,j_lens,31,2,0.6120689655172413,0.13333333333333333,1.0,0.5344827586206896
C0,P_q,27,logit_lens,31,2,0.6120689655172413,0.13333333333333333,1.0,0.5344827586206896
C0,last_evidence,0,j_lens,31,2,0.4482758620689655,0.03333333333333333,0.8666666666666667,0.41379310344827586
C0,last_evidence,0,logit_lens,31,2,0.7931034482758621,0.5,1.0,0.6724137931034483
C0,last_evidence,1,j_lens,31,2,0.6896551724137931,0.4810344827586207,0.8666666666666667,0.25862068965517243
C0,last_evidence,1,logit_lens,31,2,0.6293103448275862,0.22413793103448276,1.0,0.5689655172413793
C0,last_evidence,2,j_lens,31,2,0.5862068965517241,0.3793103448275862,0.7857142857142857,0.3793103448275862
C0,last_evidence,2,logit_lens,31,2,0.6379310344827587,0.20911330049261084,1.0,0.8103448275862069
C0,last_evidence,3,j_lens,31,2,0.41379310344827586,0.03333333333333333,0.8333333333333334,0.39655172413793105
C0,last_evidence,3,logit_lens,31,2,0.6551724137931034,0.23413793103448277,1.0,0.7241379310344828
C0,last_evidence,4,j_lens,31,2,0.5517241379310345,0.36916666666666664,0.7213448275862065,0.4827586206896552
C0,last_evidence,4,logit_lens,31,2,0.6982758620689655,0.3072967980295567,1.0,0.7586206896551724
C0,last_evidence,5,j_lens,31,2,0.6724137931034483,0.4166666666666667,0.9,0.6379310344827587
C0,last_evidence,5,logit_lens,31,2,0.5689655172413793,0.16666666666666666,0.9333333333333333,0.6724137931034483
C0,last_evidence,6,j_lens,31,2,0.646551724137931,0.35,0.9137931034482759,0.6206896551724138
C0,last_evidence,6,logit_lens,31,2,0.6982758620689655,0.3659523809523809,1.0,0.7068965517241379
C0,last_evidence,7,j_lens,31,2,0.603448275862069,0.41139846743295017,0.7738095238095238,0.5689655172413793
C0,last_evidence,7,logit_lens,31,2,0.6120689655172413,0.16666666666666666,1.0,0.7241379310344828
C0,last_evidence,8,j_lens,31,2,0.5948275862068966,0.35957142857142854,0.8333333333333334,0.603448275862069
C0,last_evidence,8,logit_lens,31,2,0.5086206896551724,0.11666666666666667,0.9,0.7241379310344828
C0,last_evidence,9,j_lens,31,2,0.5431034482758621,0.3103448275862069,0.7644444444444443,0.3793103448275862
C0,last_evidence,9,logit_lens,31,2,0.5862068965517241,0.1,1.0,0.6896551724137931
C0,last_evidence,10,j_lens,31,2,0.3879310344827586,0.06666666666666667,0.75,0.3448275862068966
C0,last_evidence,10,logit_lens,31,2,0.5689655172413793,0.09857142857142866,1.0,0.7931034482758621
C0,last_evidence,11,j_lens,31,2,0.603448275862069,0.26666666666666666,0.9285714285714286,0.3620689655172414
C0,last_evidence,11,logit_lens,31,2,0.5517241379310345,0.13333333333333333,0.9666666666666667,0.5172413793103449
C0,last_evidence,12,j_lens,31,2,0.5431034482758621,0.16695402298850573,0.8963669950738914,0.27586206896551724
C0,last_evidence,12,logit_lens,31,2,0.4482758620689655,0.0,0.9655172413793104,0.5862068965517241
C0,last_evidence,13,j_lens,31,2,0.41379310344827586,0.0,0.9,0.3103448275862069
C0,last_evidence,13,logit_lens,31,2,0.43103448275862066,0.0,0.8928571428571429,0.6724137931034483
C0,last_evidence,14,j_lens,31,2,0.29310344827586204,0.0,0.7,0.3448275862068966
C0,last_evidence,14,logit_lens,31,2,0.5172413793103449,0.16666666666666666,0.8666666666666667,0.5172413793103449
C0,last_evidence,15,j_lens,31,2,0.22413793103448276,0.0,0.5669047619047617,0.3275862068965517
C0,last_evidence,15,logit_lens,31,2,0.22413793103448276,0.0,0.5333333333333333,0.3275862068965517
C0,last_evidence,16,j_lens,31,2,0.22413793103448276,0.0,0.5341071428571427,0.3620689655172414
C0,last_evidence,16,logit_lens,31,2,0.5689655172413793,0.3444364623243934,0.8159722222222219,0.4827586206896552
C0,last_evidence,17,j_lens,31,2,0.31896551724137934,0.08333333333333333,0.6071428571428571,0.4827586206896552
C0,last_evidence,17,logit_lens,31,2,0.3448275862068966,0.1,0.6,0.4482758620689655
C0,last_evidence,18,j_lens,31,2,0.3793103448275862,0.03333333333333333,0.7931034482758621,0.5689655172413793
C0,last_evidence,18,logit_lens,31,2,0.39655172413793105,0.2,0.6206896551724138,0.5
C0,last_evidence,19,j_lens,31,2,0.29310344827586204,0.0,0.7,0.46551724137931033
C0,last_evidence,19,logit_lens,31,2,0.1896551724137931,0.03333333333333333,0.41379310344827586,0.5
C0,last_evidence,20,j_lens,31,2,0.3275862068965517,0.0,0.7666666666666667,0.4482758620689655
C0,last_evidence,20,logit_lens,31,2,0.25862068965517243,0.06666666666666667,0.5,0.6379310344827587
C0,last_evidence,21,j_lens,31,2,0.3793103448275862,0.0,0.8,0.4827586206896552
C0,last_evidence,21,logit_lens,31,2,0.2413793103448276,0.03333333333333333,0.5,0.6379310344827587
C0,last_evidence,22,j_lens,31,2,0.41379310344827586,0.0,0.8908730158730158,0.6206896551724138
C0,last_evidence,22,logit_lens,31,2,0.3620689655172414,0.0,0.7666666666666667,0.6379310344827587
C0,last_evidence,23,j_lens,31,2,0.3620689655172414,0.0,0.7666666666666667,0.6379310344827587
C0,last_evidence,23,logit_lens,31,2,0.5,0.13793103448275862,0.8333333333333334,0.7241379310344828
C0,last_evidence,24,j_lens,31,2,0.4827586206896552,0.19541256157635467,0.7847988505747124,0.603448275862069
C0,last_evidence,24,logit_lens,31,2,0.603448275862069,0.26666666666666666,0.9285714285714286,0.6896551724137931
C0,last_evidence,25,j_lens,31,2,0.6379310344827587,0.46551724137931033,0.8165178571428571,0.6896551724137931
C0,last_evidence,25,logit_lens,31,2,0.6810344827586207,0.5165384615384616,0.8392857142857143,0.6810344827586207
C0,last_evidence,26,j_lens,31,2,0.6551724137931034,0.41379310344827586,0.8622988505747123,0.6724137931034483
C0,last_evidence,26,logit_lens,31,2,0.5948275862068966,0.301875,0.8812212643678161,0.6810344827586207
C0,last_evidence,27,j_lens,31,2,0.5948275862068966,0.3103448275862069,0.8666666666666667,0.6206896551724138
C0,last_evidence,27,logit_lens,31,2,0.5948275862068966,0.2864285714285714,0.8928571428571429,0.6206896551724138
C1,P_a0,0,j_lens,31,10,0.5976190476190476,0.3660673701298701,0.8358035714285714,0.5952380952380952
C1,P_a0,0,logit_lens,31,10,0.3976190476190476,0.17851190476190476,0.6191071428571429,0.5857142857142857
C1,P_a0,1,j_lens,31,10,0.5047619047619047,0.27378246753246754,0.6962394957983192,0.5047619047619047
C1,P_a0,1,logit_lens,31,10,0.3880952380952381,0.18370535714285716,0.602275432900433,0.4714285714285714
C1,P_a0,2,j_lens,31,10,0.4928571428571429,0.24698457792207792,0.719047619047619,0.5
C1,P_a0,2,logit_lens,31,10,0.5476190476190477,0.328476800976801,0.7619468167701863,0.6904761904761905
C1,P_a0,3,j_lens,31,10,0.3476190476190476,0.1533095238095238,0.5707486044657097,0.4
